,GeneName,Kshell number
0,111,1
1,20,2
2,145,2
3,17,2
4,14,2
5,34,2
6,19,2
7,12,2
8,152,2
9,126,2
10,95,2
11,29,2
12,137,2
13,140,2
14,130,2
15,31,2
16,159,2
17,157,2
18,153,2
19,142,2
20,33,2
21,27,2
22,21,2
23,113,2
24,98,2
25,9,2
26,7,2
27,97,2
28,8,2
29,30,3
30,28,3
31,132,3
32,121,3
33,66,3
34,148,3
35,103,3
36,155,3
37,86,3
38,36,3
39,67,3
40,141,3
41,150,3
42,5,3
43,114,3
44,3,3
45,0,4
46,147,4
47,105,4
48,136,4
49,158,4
50,138,4
51,16,4
52,115,4
53,96,5
54,108,5
55,25,5
56,1,6
57,44,7
58,35,7
59,133,7
60,26,7
61,23,8
62,6,8
63,139,8
64,11,8
65,129,8
66,18,8
67,119,8
68,56,9
69,91,9
70,48,9
71,39,9
72,69,9
73,13,9
74,15,9
75,104,9
76,100,9
77,82,10
78,93,10
79,59,10
80,4,10
81,89,10
82,57,10
83,106,10
84,24,10
85,109,10
86,10,10
87,94,10
88,146,10
89,64,11
90,62,11
91,87,11
92,99,11
93,144,11
94,2,11
95,135,11
96,123,11
97,160,11
98,52,12
99,51,12
100,125,12
101,81,13
102,37,13
103,68,14
104,22,14
105,88,15
106,122,15
107,127,15
108,116,15
109,102,15
110,118,15
111,40,16
112,50,16
113,85,16
114,151,16
115,124,16
116,110,16
117,83,17
118,73,17
119,58,17
120,143,17
121,70,18
122,131,18
123,128,18
124,107,18
125,46,19
126,120,19
127,43,20
128,42,20
129,65,20
130,45,20
131,117,20
132,161,20
133,134,20
134,101,20
135,75,21
136,55,21
137,53,22
138,54,22
139,84,22
140,49,22
141,154,22
142,149,22
143,90,23
144,71,23
145,41,24
146,156,24
147,32,25
148,47,26
149,74,26
150,72,26
151,38,26
152,63,27
153,76,27
154,92,27
155,60,27
156,112,27
157,61,28
158,80,29
159,79,29
160,77,29
161,78,29
