YLR079W,Sic1
YCR084C,Tup1
YDL028C,Mps1
YBR135W,Cks1
YGR233C,Pho81
YGR092W,Dbf2
YLR086W,Smc4
YPL031C,Pho85
YDR052C,Dbf4
YHR144C,Dcd1
YFR031C,Smc2
YKL101W,Hsl1
YML064C,Tem1
YDL056W,Mbp1
YBR133C,Hsl7
YGL003C,Cdh1
YOL001W,Pho80
YBR160W,Cdc28
YDR113C,Pds1
YBL084C,Cdc27
YFR034C,Pho4
YFR036W,Cdc26
YBR093C,Pho5
YHR166C,Cdc23
YDR328C,Skp1
YDL106C,Pho2
YGL116W,Cdc20
YLR127C,Apc2
YMR036C,Mih1
YNL172W,Apc1
YGL086W,Mad1
YJL030W,Mad2
YJL013C,Mad3
YDR507C,Gin4
YPR111W,Dbf20
YGR098C,Esp1
YAL024C,Lte1
YBR037C,Sco1
YDR180W,Scc2
YEL032W,Mcm3
YGL240W,Doc1
YJL157C,Far1
YFL029C,Cak1
YGL201C,Mcm6
YDR054C,Cdc34
YNL289W,Pcl1
YBL023C,Mcm2
YBR136W,Mec1
YDR217C,Rad9
YER173W,Rad24
YJR035W,Rad26
YER111C,Swi4
YBR274W,Chk1
YLR288C,Mec3
YNL261W,Orc5
YPR162C,Orc4
YHR118C,Orc6
YML065W,Orc1
YLL004W,Orc3
YLR182W,Swi6
YJL187C,Swe1
YBR060C,Orc2
YDR146C,Swi5
YLR102C,Apc9
YOR026W,Bub3
YLR103C,Cdc45
YMR055C,Bub2
YDL008W,Apc11
YGR188C,Bub1
YOR249C,Apc5
YDR118W,Apc4
YGR113W,Dam1
YPL153C,Rad53
YJR090C,Grr1
YOR368W,Rad17
YDL017W,Cdc7
YJL194W,Cdc6
YMR199W,Cln1
YMR001C,Cdc5
YBL097W,Brn1
YFL009W,Cdc4
YAL040C,Cln3
YBL016W,Fus3
YKL210W,Uba1
YIL046W,Met30
YIL106W,Mob1
YKL022C,Cdc16
YGR108W,Clb1
YAR019C,Cdc15
YPL022W,Rad1
YDL155W,Clb3
YFR028C,Cdc14
YPR120C,Clb5
YDR325W,Ycg1
YDL132W,Cdc53
YOL063C,Hus1
YBR202W,Cdc47
YIL143C,Rad25
YPR019W,Cdc54
YJL076W,Esc5
YLR272C,Loc7
YBR112C,Ssn6
YLR274W,Cdc46
